city,date,hour,temperature_c,pressure_mm,is_rain
Казань,2024-03-03,23,-2,764,0
Казань,2024-03-04,0,-2,765,0
Казань,2024-03-04,1,-3,764,0
Казань,2024-03-04,2,-3,764,0
Казань,2024-03-04,3,-4,764,0
Казань,2024-03-04,4,-4,763,0
Казань,2024-03-04,5,-4,763,0
Казань,2024-03-04,6,-5,763,0
Казань,2024-03-04,7,-4,762,0
Казань,2024-03-04,8,-4,762,0
Казань,2024-03-04,9,-3,762,0
Казань,2024-03-04,10,-2,762,0
Казань,2024-03-04,11,-1,761,0
Казань,2024-03-04,12,-1,761,0
Казань,2024-03-04,13,0,761,0
Казань,2024-03-04,14,1,760,0
Казань,2024-03-04,15,2,760,0
Казань,2024-03-04,16,2,760,0
Казань,2024-03-04,17,1,759,0
Казань,2024-03-04,18,0,760,0
Казань,2024-03-04,19,-1,759,0
Казань,2024-03-04,20,-1,759,0
Казань,2024-03-04,21,-2,759,0
Казань,2024-03-04,22,-3,758,0
Казань,2024-03-04,23,-3,758,0
Казань,2024-03-05,0,-4,758,0
Казань,2024-03-05,1,-4,758,0
Казань,2024-03-05,2,-4,758,0
Казань,2024-03-05,3,-4,758,0
Казань,2024-03-05,4,-5,757,0
Казань,2024-03-05,5,-5,757,0
Казань,2024-03-05,6,-5,758,0
Казань,2024-03-05,7,-5,757,0
Казань,2024-03-05,8,-4,757,0
Казань,2024-03-05,9,-3,758,0
Казань,2024-03-05,10,-3,757,0
Казань,2024-03-05,11,-2,757,0
Казань,2024-03-05,12,-2,757,0
Казань,2024-03-05,13,-1,757,0
Казань,2024-03-05,14,0,757,0
Казань,2024-03-05,15,0,757,0
Казань,2024-03-05,16,-1,757,0
Казань,2024-03-05,17,-1,757,0
Казань,2024-03-05,18,-1,757,0
Казань,2024-03-05,19,-2,757,0
Казань,2024-03-05,20,-2,757,0
Казань,2024-03-05,21,-3,756,0
Санкт-Петербург,2024-03-02,0,1,769,0
Санкт-Петербург,2024-03-02,1,1,769,0
Санкт-Петербург,2024-03-02,2,1,769,0
Санкт-Петербург,2024-03-02,3,2,768,0
Санкт-Петербург,2024-03-02,4,1,769,0
Санкт-Петербург,2024-03-02,5,1,769,0
Санкт-Петербург,2024-03-02,6,1,770,0
Санкт-Петербург,2024-03-02,7,1,769,0
Санкт-Петербург,2024-03-02,8,1,769,0
Санкт-Петербург,2024-03-02,9,3,768,0
Санкт-Петербург,2024-03-02,10,2,769,0
Санкт-Петербург,2024-03-02,11,2,769,0
Санкт-Петербург,2024-03-02,12,3,768,0
Санкт-Петербург,2024-03-02,13,3,769,0
Санкт-Петербург,2024-03-02,14,5,769,0
Санкт-Петербург,2024-03-02,15,4,769,0
Санкт-Петербург,2024-03-02,16,4,769,0
Санкт-Петербург,2024-03-02,17,4,769,0
Санкт-Петербург,2024-03-02,18,5,768,0
Санкт-Петербург,2024-03-02,19,4,769,0
Санкт-Петербург,2024-03-02,20,3,769,0
Санкт-Петербург,2024-03-02,21,3,770,0
Санкт-Петербург,2024-03-02,22,3,769,0
Санкт-Петербург,2024-03-02,23,2,769,0
Санкт-Петербург,2024-03-03,0,2,770,0
Санкт-Петербург,2024-03-03,1,2,769,0
Санкт-Петербург,2024-03-03,2,2,769,0
Санкт-Петербург,2024-03-03,3,2,770,0
Санкт-Петербург,2024-03-03,4,2,770,0
Санкт-Петербург,2024-03-03,5,1,770,0
Санкт-Петербург,2024-03-03,6,1,770,0
Санкт-Петербург,2024-03-03,7,1,769,0
Санкт-Петербург,2024-03-03,8,1,769,0
Санкт-Петербург,2024-03-03,9,1,770,0
Санкт-Петербург,2024-03-03,10,2,769,0
Санкт-Петербург,2024-03-03,11,2,769,0
Санкт-Петербург,2024-03-03,12,2,770,0
Санкт-Петербург,2024-03-03,13,3,769,0
Санкт-Петербург,2024-03-03,14,3,769,0
Санкт-Петербург,2024-03-03,15,3,769,0
Санкт-Петербург,2024-03-03,16,4,769,0
Санкт-Петербург,2024-03-03,17,3,768,0
Санкт-Петербург,2024-03-03,18,3,769,0
Санкт-Петербург,2024-03-03,19,2,768,0
Санкт-Петербург,2024-03-03,20,1,769,0
Санкт-Петербург,2024-03-03,21,1,769,0
Санкт-Петербург,2024-03-03,22,1,768,0
Санкт-Петербург,2024-03-03,23,0,768,0
Санкт-Петербург,2024-03-04,0,0,769,0
Санкт-Петербург,2024-03-04,1,0,768,0
Санкт-Петербург,2024-03-04,2,-1,768,0
Санкт-Петербург,2024-03-04,3,-1,768,0
Санкт-Петербург,2024-03-04,4,-2,767,0
Санкт-Петербург,2024-03-04,5,-2,767,0
Санкт-Петербург,2024-03-04,6,-2,768,0
Санкт-Петербург,2024-03-04,7,-3,767,0
Санкт-Петербург,2024-03-04,8,-3,767,0
Санкт-Петербург,2024-03-04,9,-2,768,0
Санкт-Петербург,2024-03-04,10,-1,767,0
Санкт-Петербург,2024-03-04,11,0,767,0
Санкт-Петербург,2024-03-04,12,1,768,0
Санкт-Петербург,2024-03-04,13,2,767,0
Санкт-Петербург,2024-03-04,14,2,767,0
Санкт-Петербург,2024-03-04,15,3,767,0
Санкт-Петербург,2024-03-04,16,2,767,0
Санкт-Петербург,2024-03-04,17,2,767,0
Санкт-Петербург,2024-03-04,18,0,768,0
Санкт-Петербург,2024-03-04,19,0,768,0
Санкт-Петербург,2024-03-04,20,0,768,0
Санкт-Петербург,2024-03-04,21,0,768,0
Санкт-Петербург,2024-03-04,22,0,768,0
Санкт-Петербург,2024-03-04,23,0,769,0
Санкт-Петербург,2024-03-05,0,0,769,0
Санкт-Петербург,2024-03-05,1,1,769,0
Санкт-Петербург,2024-03-05,2,0,769,0
Санкт-Петербург,2024-03-05,3,0,769,0
Санкт-Петербург,2024-03-05,4,0,769,0
Санкт-Петербург,2024-03-05,5,-1,770,0
Санкт-Петербург,2024-03-05,6,-1,770,0
Санкт-Петербург,2024-03-05,7,-1,770,0
Санкт-Петербург,2024-03-05,8,-2,771,0
Санкт-Петербург,2024-03-05,9,-2,771,0
Санкт-Петербург,2024-03-05,10,-1,771,0
Санкт-Петербург,2024-03-05,11,-1,771,0
Санкт-Петербург,2024-03-05,12,-1,772,0
Санкт-Петербург,2024-03-05,13,-1,771,0
Санкт-Петербург,2024-03-05,14,0,771,0
